gbifID,species,decimalLatitude,decimalLongitude,eventDate,geometry
3457132545,Anas flavirostris,-36.588842,-72.059022,2022-01-11T11:08:56,POINT (-72.059022 -36.588842)
3456771908,Anas flavirostris,-23.859338,-67.422527,2022-01-07T20:05:00,POINT (-67.422527 -23.859338)
3457057646,Anas flavirostris,-33.394952,-70.60051,2022-01-16T14:48:08,POINT (-70.60051 -33.394952)
3465976834,Anas flavirostris,-41.8675,-73.827696,2022-01-16T01:02:00,POINT (-73.827696 -41.8675)
3747000468,Anas flavirostris,-42.438991,-73.602577,2022-01-31T16:29:38,POINT (-73.602577 -42.438991)
3468843781,Anas flavirostris,-41.886917,-73.786608,2022-01-29T14:05:00,POINT (-73.786608 -41.886917)
3468700220,Anas flavirostris,-42.638959,-73.724749,2022-01-24T10:30:00,POINT (-73.724749 -42.638959)
3743345864,Anas flavirostris,-39.80052,-73.258548,2022-01-13T09:52:25,POINT (-73.258548 -39.80052)
3468870618,Anas flavirostris,-42.85847,-73.667507,2022-02-06T19:47:40,POINT (-73.667507 -42.85847)
3499371015,Anas flavirostris,-43.120968,-73.606902,2022-02-13T16:00:35,POINT (-73.606902 -43.120968)
3698177803,Anas flavirostris,-34.991069,-71.853593,2022-02-20T19:37:00,POINT (-71.853593 -34.991069)
3705452823,Anas flavirostris,-42.819835,-73.610701,2022-02-25T17:57:11,POINT (-73.610701 -42.819835)
3705817816,Anas flavirostris,-42.482936,-73.771744,2022-02-10T21:08:00,POINT (-73.771744 -42.482936)
3773589015,Anas flavirostris,-36.795959,-73.083717,2022-02-27T00:00:00,POINT (-73.083717 -36.795959)
3889134874,Anas flavirostris,-41.825667,-73.630069,2022-02-24T16:17:00,POINT (-73.630069 -41.825667)
4034962830,Anas flavirostris,-38.731856,-73.424951,2022-02-05T07:47:00,POINT (-73.424951 -38.731856)
3742986786,Anas flavirostris,-33.394539,-70.600271,2022-03-13T09:32:38,POINT (-70.600271 -33.394539)
3747304948,Anas flavirostris,-39.856561,-73.234517,2022-03-10T11:49:48,POINT (-73.234517 -39.856561)
4039497676,Anas flavirostris,-18.162744,-69.46466,2022-03-30T08:21:00,POINT (-69.46466 -18.162744)
3753049565,Anas flavirostris,-33.2043,-70.8285,2022-03-27T00:00:00,POINT (-70.8285 -33.2043)
3760049918,Anas flavirostris,-33.398603,-70.602481,2022-04-14T00:00:00,POINT (-70.602481 -33.398603)
4011675973,Anas flavirostris,-34.377617,-71.991088,2022-04-16T14:07:00,POINT (-71.991088 -34.377617)
3859768664,Anas flavirostris,-40.574398,-73.102131,2022-06-01T15:23:00,POINT (-73.102131 -40.574398)
3858668149,Anas flavirostris,-53.116519,-70.879883,2022-06-06T10:48:50,POINT (-70.879883 -53.116519)
3874147194,Anas flavirostris,-32.500828,-71.4382,2022-07-11T16:30:00,POINT (-71.4382 -32.500828)
3881545712,Anas flavirostris,-29.960947,-71.327508,2022-07-31T11:38:00,POINT (-71.327508 -29.960947)
3947789508,Anas flavirostris,-40.576184,-73.114947,2022-07-30T16:07:34,POINT (-73.114947 -40.576184)
3888717846,Anas flavirostris,-43.120977,-73.612724,2022-08-03T15:06:54,POINT (-73.612724 -43.120977)
3889032230,Anas flavirostris,-30.976148,-71.646787,2022-08-06T12:45:00,POINT (-71.646787 -30.976148)
3892566121,Anas flavirostris,-35.405137,-71.629059,2022-08-14T16:28:12,POINT (-71.629059 -35.405137)
3892478207,Anas flavirostris,-39.279077,-71.980011,2022-08-11T16:53:00,POINT (-71.980011 -39.279077)
3902759328,Anas flavirostris,-43.120678,-73.605279,2022-08-14T17:44:50,POINT (-73.605279 -43.120678)
3902905954,Anas flavirostris,-33.704985,-71.631665,2022-08-20T12:24:00,POINT (-71.631665 -33.704985)
3961320575,Anas flavirostris,-38.835245,-72.481384,2022-09-14T09:31:49,POINT (-72.481384 -38.835245)
3912397830,Anas flavirostris,-33.053349,-71.41333,2022-09-20T15:20:04,POINT (-71.41333 -33.053349)
3915599154,Anas flavirostris,-22.532639,-68.044071,2022-09-12T11:42:17,POINT (-68.044071 -22.532639)
3915660307,Anas flavirostris,-22.46556,-68.905557,2022-09-25T17:26:00,POINT (-68.905557 -22.46556)
3915663707,Anas flavirostris,-40.568529,-73.155157,2022-09-08T16:56:00,POINT (-73.155157 -40.568529)
3923351930,Anas flavirostris,-22.531699,-68.043518,2022-09-09T15:42:00,POINT (-68.043518 -22.531699)
3923228320,Anas flavirostris,-40.568754,-73.132899,2022-09-18T13:01:06,POINT (-73.132899 -40.568754)
3947660078,Anas flavirostris,-32.969327,-71.325738,2022-09-24T12:21:00,POINT (-71.325738 -32.969327)
3966725606,Anas flavirostris,-29.961171,-71.321612,2022-09-15T18:41:00,POINT (-71.321612 -29.961171)
3925423046,Anas flavirostris,-39.803258,-73.258147,2022-10-06T15:46:00,POINT (-73.258147 -39.803258)
3925030096,Anas flavirostris,-39.800676,-73.258541,2022-10-06T16:22:00,POINT (-73.258541 -39.800676)
3961177433,Anas flavirostris,-38.739197,-72.756584,2022-10-30T00:00:00,POINT (-72.756584 -38.739197)
3961419601,Anas flavirostris,-33.264965,-70.137939,2022-10-31T16:28:11,POINT (-70.137939 -33.264965)
3963564186,Anas flavirostris,-36.724537,-73.116981,2022-10-27T15:36:58,POINT (-73.116981 -36.724537)
3966732805,Anas flavirostris,-39.809887,-73.256207,2022-11-10T13:44:00,POINT (-73.256207 -39.809887)
3966443827,Anas flavirostris,-39.809921,-73.256178,2022-11-10T13:39:00,POINT (-73.256178 -39.809921)
3966383845,Anas flavirostris,-53.119763,-70.879462,2022-11-06T14:36:00,POINT (-70.879462 -53.119763)
3966516352,Anas flavirostris,-39.809883,-73.256227,2022-11-10T00:00:00,POINT (-73.256227 -39.809883)
3985815676,Anas flavirostris,-39.809863,-73.256988,2022-11-13T14:11:43,POINT (-73.256988 -39.809863)
3985962809,Anas flavirostris,-35.689673,-71.677803,2022-11-10T19:32:00,POINT (-71.677803 -35.689673)
3985957952,Anas flavirostris,-33.506477,-71.607231,2022-11-13T11:00:00,POINT (-71.607231 -33.506477)
3986106329,Anas flavirostris,-39.80987,-73.256218,2022-11-29T11:41:00,POINT (-73.256218 -39.80987)
3988443786,Anas flavirostris,-22.399733,-69.623407,2022-11-05T14:55:00,POINT (-69.623407 -22.399733)
4009896993,Anas flavirostris,-38.735372,-72.639822,2022-11-20T20:37:00,POINT (-72.639822 -38.735372)
4011510175,Anas flavirostris,-32.845932,-71.546734,2022-11-19T15:42:00,POINT (-71.546734 -32.845932)
4011583237,Anas flavirostris,-32.959713,-71.534699,2022-11-19T15:42:00,POINT (-71.534699 -32.959713)
4011741299,Anas flavirostris,-32.824037,-71.426158,2022-11-22T05:34:00,POINT (-71.426158 -32.824037)
4011912322,Anas flavirostris,-32.929566,-71.555589,2022-11-22T06:57:00,POINT (-71.555589 -32.929566)
4014841878,Anas flavirostris,-32.899494,-71.41961,2022-11-23T14:54:00,POINT (-71.41961 -32.899494)
4006765002,Anas flavirostris,-53.11504,-70.880885,2022-12-13T09:52:00,POINT (-70.880885 -53.11504)
4009806937,Anas flavirostris,-36.804659,-73.065433,2022-12-22T15:15:00,POINT (-73.065433 -36.804659)
4009744096,Anas flavirostris,-38.734065,-72.633857,2022-12-20T19:45:00,POINT (-72.633857 -38.734065)
4009895233,Anas flavirostris,-18.167239,-69.43281,2022-12-02T07:52:00,POINT (-69.43281 -18.167239)
4011797170,Anas flavirostris,-19.271553,-68.682867,2022-12-25T20:01:00,POINT (-68.682867 -19.271553)
4015240917,Anas flavirostris,-43.120654,-73.605273,2022-12-25T19:36:39,POINT (-73.605273 -43.120654)
4029068330,Anas flavirostris,-35.787156,-70.810288,2022-12-04T10:22:54,POINT (-70.810288 -35.787156)
3032017738,Anas flavirostris,-39.464384,-73.098011,2021-01-13T13:16:00,POINT (-73.098011 -39.464384)
3582772944,Anas flavirostris,-42.46453,-73.7662,2021-01-01T00:00:00,POINT (-73.7662 -42.46453)
3673848394,Anas flavirostris,-33.538925,-70.80819,2021-01-01T00:00:00,POINT (-70.80819 -33.538925)
3505329779,Anas flavirostris,-33.606865,-71.623116,2021-01-01T00:00:00,POINT (-71.623116 -33.606865)
3591714840,Anas flavirostris,-53.116234,-70.8813,2021-01-01T00:00:00,POINT (-70.8813 -53.116234)
3602592598,Anas flavirostris,-41.332615,-73.025665,2021-01-01T00:00:00,POINT (-73.025665 -41.332615)
3678556409,Anas flavirostris,-53.116234,-70.8813,2021-01-01T00:00:00,POINT (-70.8813 -53.116234)
3504567338,Anas flavirostris,-39.27809,-72.220634,2021-01-02T00:00:00,POINT (-72.220634 -39.27809)
3597888604,Anas flavirostris,-53.116234,-70.8813,2021-01-01T00:00:00,POINT (-70.8813 -53.116234)
3508914485,Anas flavirostris,-40.313023,-72.46395,2021-01-02T00:00:00,POINT (-72.46395 -40.313023)
3515152555,Anas flavirostris,-41.851875,-73.737724,2021-01-02T00:00:00,POINT (-73.737724 -41.851875)
3586382270,Anas flavirostris,-33.206444,-70.82791,2021-01-02T00:00:00,POINT (-70.82791 -33.206444)
3587687932,Anas flavirostris,-53.116234,-70.8813,2021-01-02T00:00:00,POINT (-70.8813 -53.116234)
