gbifID,species,decimalLatitude,decimalLongitude,phylumKey,classKey,orderKey,familyKey,geodeticDatum,eventDate,geometry
3983021043,Crepipatella dilatata,-43.684522,-72.814194,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814194 -43.684522)
3983021045,Crepipatella dilatata,-43.68452,-72.814191,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814191 -43.68452)
3983021003,Crepipatella dilatata,-43.684518,-72.814188,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814188 -43.684518)
3983021005,Crepipatella dilatata,-43.684518,-72.814188,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814188 -43.684518)
3983021012,Crepipatella dilatata,-43.684516,-72.814185,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814185 -43.684516)
3983021014,Crepipatella dilatata,-43.684516,-72.814185,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814185 -43.684516)
3983021018,Crepipatella dilatata,-43.684504,-72.814176,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814176 -43.684504)
3983020982,Crepipatella dilatata,-43.684504,-72.814176,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814176 -43.684504)
3983020985,Crepipatella dilatata,-43.684504,-72.814173,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814173 -43.684504)
3983020986,Crepipatella dilatata,-43.684504,-72.81417,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81417 -43.684504)
3983020990,Crepipatella dilatata,-43.684504,-72.81417,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81417 -43.684504)
3983020991,Crepipatella dilatata,-43.684504,-72.81417,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81417 -43.684504)
3983020978,Crepipatella dilatata,-43.684504,-72.81417,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81417 -43.684504)
3983020980,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020981,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020369,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020370,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
