gbifID,species,decimalLatitude,decimalLongitude,eventDate,geometry
3456513826,Chloephaga hybrida,-54.868753,-68.247104,2022-01-07T16:41:00,POINT (-68.247104 -54.868753)
3468754751,Chloephaga hybrida,-41.866353,-74.01691,2022-01-29T11:48:25,POINT (-74.01691 -41.866353)
3468986117,Chloephaga hybrida,-41.866431,-74.017415,2022-01-29T12:05:36,POINT (-74.017415 -41.866431)
3759913495,Chloephaga hybrida,-41.922474,-74.040661,2022-01-25T17:28:41,POINT (-74.040661 -41.922474)
3760099580,Chloephaga hybrida,-41.928676,-74.038392,2022-01-27T13:42:00,POINT (-74.038392 -41.928676)
3499490921,Chloephaga hybrida,-43.120971,-73.61511,2022-02-13T16:13:23,POINT (-73.61511 -43.120971)
3698059630,Chloephaga hybrida,-43.121357,-73.60966,2022-02-20T19:32:14,POINT (-73.60966 -43.121357)
3698331530,Chloephaga hybrida,-43.121623,-73.608413,2022-02-20T20:07:44,POINT (-73.608413 -43.121623)
3747022519,Chloephaga hybrida,-52.916752,-70.568567,2022-02-28T09:03:00,POINT (-70.568567 -52.916752)
3747105563,Chloephaga hybrida,-53.563927,-70.94066,2022-02-28T17:58:00,POINT (-70.94066 -53.563927)
3747377633,Chloephaga hybrida,-53.475224,-70.965714,2022-02-27T19:19:05,POINT (-70.965714 -53.475224)
3802415586,Chloephaga hybrida,-43.773811,-73.028935,2022-02-12T12:57:00,POINT (-73.028935 -43.773811)
3889187214,Chloephaga hybrida,-41.925505,-74.040555,2022-02-23T14:02:00,POINT (-74.040555 -41.925505)
3915555395,Chloephaga hybrida,-43.772254,-73.048899,2022-02-12T13:32:00,POINT (-73.048899 -43.772254)
3947770905,Chloephaga hybrida,-43.772571,-73.048631,2022-02-12T12:57:00,POINT (-73.048631 -43.772571)
3743058932,Chloephaga hybrida,-43.121042,-73.607912,2022-03-15T16:59:10,POINT (-73.607912 -43.121042)
3743040676,Chloephaga hybrida,-43.120989,-73.614981,2022-03-15T17:31:53,POINT (-73.614981 -43.120989)
3747049610,Chloephaga hybrida,-43.128166,-73.517448,2022-03-18T16:41:31,POINT (-73.517448 -43.128166)
3747250874,Chloephaga hybrida,-41.944946,-74.030229,2022-03-11T17:16:00,POINT (-74.030229 -41.944946)
3747074056,Chloephaga hybrida,-41.923774,-74.039209,2022-03-11T15:08:00,POINT (-74.039209 -41.923774)
3746984112,Chloephaga hybrida,-54.890327,-68.333396,2022-03-18T16:02:00,POINT (-68.333396 -54.890327)
3747032190,Chloephaga hybrida,-52.920449,-70.572727,2022-03-10T18:38:04,POINT (-70.572727 -52.920449)
3759995713,Chloephaga hybrida,-54.850968,-68.183603,2022-04-03T15:29:00,POINT (-68.183603 -54.850968)
3759730594,Chloephaga hybrida,-43.120788,-73.618031,2022-04-08T19:21:16,POINT (-73.618031 -43.120788)
3764550620,Chloephaga hybrida,-54.862219,-68.244963,2022-04-23T12:48:57,POINT (-68.244963 -54.862219)
3858842867,Chloephaga hybrida,-53.63307,-70.917069,2022-04-17T15:02:00,POINT (-70.917069 -53.63307)
3881923352,Chloephaga hybrida,-41.927371,-74.037396,2022-07-30T15:02:00,POINT (-74.037396 -41.927371)
3889178757,Chloephaga hybrida,-43.121021,-73.614589,2022-08-03T14:58:23,POINT (-73.614589 -43.121021)
3903552782,Chloephaga hybrida,-43.120784,-73.60545,2022-08-28T16:17:16,POINT (-73.60545 -43.120784)
4046311366,Chloephaga hybrida,-54.872665,-68.177048,2022-08-15T00:00:00,POINT (-68.177048 -54.872665)
3915397976,Chloephaga hybrida,-43.120793,-73.605386,2022-09-20T16:49:26,POINT (-73.605386 -43.120793)
3947273840,Chloephaga hybrida,-53.633103,-70.915428,2022-09-23T13:50:54,POINT (-70.915428 -53.633103)
3961047484,Chloephaga hybrida,-54.906095,-67.38764,2022-10-28T11:42:00,POINT (-67.38764 -54.906095)
3966831406,Chloephaga hybrida,-54.859638,-68.170059,2022-11-05T09:32:00,POINT (-68.170059 -54.859638)
3985854568,Chloephaga hybrida,-54.871636,-68.083291,2022-11-20T10:05:00,POINT (-68.083291 -54.871636)
4009862786,Chloephaga hybrida,-54.886889,-67.834897,2022-12-21T12:31:10,POINT (-67.834897 -54.886889)
3538218479,Chloephaga hybrida,-53.819286,-70.17359,2021-01-08T00:00:00,POINT (-70.17359 -53.819286)
3589752262,Chloephaga hybrida,-53.886147,-70.14206,2021-01-10T00:00:00,POINT (-70.14206 -53.886147)
3553360643,Chloephaga hybrida,-53.88578,-70.141815,2021-01-08T00:00:00,POINT (-70.141815 -53.88578)
3648096320,Chloephaga hybrida,-53.887028,-70.14101,2021-01-11T00:00:00,POINT (-70.14101 -53.887028)
3590341344,Chloephaga hybrida,-53.884327,-70.143845,2021-01-13T00:00:00,POINT (-70.143845 -53.884327)
3505875710,Chloephaga hybrida,-53.885914,-70.14211,2021-01-14T00:00:00,POINT (-70.14211 -53.885914)
3604508064,Chloephaga hybrida,-53.57049,-70.938034,2021-01-19T00:00:00,POINT (-70.938034 -53.57049)
3588502765,Chloephaga hybrida,-53.62703,-70.955025,2021-01-19T00:00:00,POINT (-70.955025 -53.62703)
3599358745,Chloephaga hybrida,-53.585686,-70.93013,2021-01-19T00:00:00,POINT (-70.93013 -53.585686)
3596468308,Chloephaga hybrida,-54.937874,-67.6067,2021-01-31T00:00:00,POINT (-67.6067 -54.937874)
3507975574,Chloephaga hybrida,-53.785137,-70.97524,2021-01-27T00:00:00,POINT (-70.97524 -53.785137)
3540364758,Chloephaga hybrida,-53.658527,-72.2621,2021-01-30T00:00:00,POINT (-72.2621 -53.658527)
3590890650,Chloephaga hybrida,-53.658527,-72.2621,2021-01-26T00:00:00,POINT (-72.2621 -53.658527)
3671405735,Chloephaga hybrida,-53.658527,-72.2621,2021-01-29T00:00:00,POINT (-72.2621 -53.658527)
3677174585,Chloephaga hybrida,-53.658527,-72.2621,2021-01-27T00:00:00,POINT (-72.2621 -53.658527)
3559725491,Chloephaga hybrida,-53.658527,-72.2621,2021-01-25T00:00:00,POINT (-72.2621 -53.658527)
3604550356,Chloephaga hybrida,-53.658527,-72.2621,2021-01-24T00:00:00,POINT (-72.2621 -53.658527)
3520827820,Chloephaga hybrida,-53.658527,-72.2621,2021-01-29T00:00:00,POINT (-72.2621 -53.658527)
3614712023,Chloephaga hybrida,-53.658527,-72.2621,2021-01-21T00:00:00,POINT (-72.2621 -53.658527)
3505751134,Chloephaga hybrida,-43.12099,-73.61436,2021-02-01T00:00:00,POINT (-73.61436 -43.12099)
3675494010,Chloephaga hybrida,-53.23266,-70.937775,2021-02-15T00:00:00,POINT (-70.937775 -53.23266)
3511561932,Chloephaga hybrida,-53.6719,-72.26669,2021-02-15T00:00:00,POINT (-72.26669 -53.6719)
3514926531,Chloephaga hybrida,-53.49706,-70.96045,2021-02-18T00:00:00,POINT (-70.96045 -53.49706)
3515842421,Chloephaga hybrida,-52.918446,-70.88853,2021-02-21T00:00:00,POINT (-70.88853 -52.918446)
3667013362,Chloephaga hybrida,-52.566906,-70.06991,2021-02-21T00:00:00,POINT (-70.06991 -52.566906)
3514656895,Chloephaga hybrida,-53.446053,-70.98198,2021-02-21T00:00:00,POINT (-70.98198 -53.446053)
3506976405,Chloephaga hybrida,-52.918446,-70.88853,2021-02-21T00:00:00,POINT (-70.88853 -52.918446)
3509561555,Chloephaga hybrida,-53.01736,-70.822525,2021-02-27T00:00:00,POINT (-70.822525 -53.01736)
3591116660,Chloephaga hybrida,-52.919254,-70.57495,2021-02-10T00:00:00,POINT (-70.57495 -52.919254)
3590124332,Chloephaga hybrida,-53.658527,-72.2621,2021-02-26T00:00:00,POINT (-72.2621 -53.658527)
3596103150,Chloephaga hybrida,-53.658527,-72.2621,2021-02-25T00:00:00,POINT (-72.2621 -53.658527)
3607792086,Chloephaga hybrida,-53.658527,-72.2621,2021-02-16T00:00:00,POINT (-72.2621 -53.658527)
3673365070,Chloephaga hybrida,-53.658527,-72.2621,2021-02-19T00:00:00,POINT (-72.2621 -53.658527)
3589364306,Chloephaga hybrida,-53.658527,-72.2621,2021-02-14T00:00:00,POINT (-72.2621 -53.658527)
3545468383,Chloephaga hybrida,-53.658527,-72.2621,2021-02-17T00:00:00,POINT (-72.2621 -53.658527)
3540054759,Chloephaga hybrida,-53.658527,-72.2621,2021-02-10T00:00:00,POINT (-72.2621 -53.658527)
3520827799,Chloephaga hybrida,-53.658527,-72.2621,2021-02-12T00:00:00,POINT (-72.2621 -53.658527)
3652769584,Chloephaga hybrida,-53.658527,-72.2621,2021-02-03T00:00:00,POINT (-72.2621 -53.658527)
3551936398,Chloephaga hybrida,-53.658527,-72.2621,2021-02-07T00:00:00,POINT (-72.2621 -53.658527)
3600748767,Chloephaga hybrida,-53.658527,-72.2621,2021-02-07T00:00:00,POINT (-72.2621 -53.658527)
3636617155,Chloephaga hybrida,-53.658527,-72.2621,2021-02-09T00:00:00,POINT (-72.2621 -53.658527)
3590124495,Chloephaga hybrida,-53.730232,-72.11429,2021-02-06T00:00:00,POINT (-72.11429 -53.730232)
3603712738,Chloephaga hybrida,-52.40682,-69.57195,2021-02-25T00:00:00,POINT (-69.57195 -52.40682)
4011601197,Chloephaga hybrida,-54.871495,-68.083305,2021-03-21T10:00:00,POINT (-68.083305 -54.871495)
3626341550,Chloephaga hybrida,-53.27222,-70.94443,2021-03-02T00:00:00,POINT (-70.94443 -53.27222)
3510885343,Chloephaga hybrida,-53.14394,-70.88065,2021-03-04T00:00:00,POINT (-70.88065 -53.14394)
3591489623,Chloephaga hybrida,-53.23266,-70.937775,2021-03-07T00:00:00,POINT (-70.937775 -53.23266)
3515901032,Chloephaga hybrida,-53.27222,-70.94443,2021-03-08T00:00:00,POINT (-70.94443 -53.27222)
3556931528,Chloephaga hybrida,-53.586212,-70.925095,2021-03-08T00:00:00,POINT (-70.925095 -53.586212)
3595608779,Chloephaga hybrida,-44.899025,-74.39565,2021-03-10T00:00:00,POINT (-74.39565 -44.899025)
