gbifID,species,decimalLatitude,decimalLongitude,eventDate,geometry
3456418667,Elaenia albiceps,-36.847497,-73.047684,2022-01-02T13:38:00,POINT (-73.047684 -36.847497)
3455833804,Elaenia albiceps,-30.589185,-71.184844,2022-01-05T07:37:40,POINT (-71.184844 -30.589185)
3457179233,Elaenia albiceps,-36.847436,-73.047623,2022-01-07T12:43:00,POINT (-73.047623 -36.847436)
3456881977,Elaenia albiceps,-30.038708,-70.706878,2022-01-16T18:46:19,POINT (-70.706878 -30.038708)
3456298936,Elaenia albiceps,-40.286644,-72.543844,2022-01-14T09:48:12,POINT (-72.543844 -40.286644)
3465959801,Elaenia albiceps,-36.077299,-72.789736,2022-01-05T08:39:00,POINT (-72.789736 -36.077299)
3465929925,Elaenia albiceps,-33.441636,-70.610847,2022-01-22T19:10:34,POINT (-70.610847 -33.441636)
3466207232,Elaenia albiceps,-36.847595,-73.047533,2022-01-30T15:50:00,POINT (-73.047533 -36.847595)
3466314855,Elaenia albiceps,-39.448038,-72.208432,2022-01-25T20:33:00,POINT (-72.208432 -39.448038)
3466535625,Elaenia albiceps,-42.378108,-73.661112,2022-01-31T14:42:55,POINT (-73.661112 -42.378108)
3466289582,Elaenia albiceps,-42.438777,-73.601699,2022-01-31T16:57:31,POINT (-73.601699 -42.438777)
3468940722,Elaenia albiceps,-34.512411,-71.992511,2022-01-30T14:33:32,POINT (-71.992511 -34.512411)
3468700117,Elaenia albiceps,-37.926187,-73.30602,2022-01-30T11:26:00,POINT (-73.30602 -37.926187)
3468771102,Elaenia albiceps,-42.623392,-73.767321,2022-01-23T09:51:00,POINT (-73.767321 -42.623392)
3468742039,Elaenia albiceps,-42.623392,-73.767321,2022-01-23T09:52:00,POINT (-73.767321 -42.623392)
4022347336,Elaenia albiceps,-33.432826,-71.636457,2022-01-20T13:50:00,POINT (-71.636457 -33.432826)
4034669505,Elaenia albiceps,-38.984675,-72.641813,2022-01-01T10:30:00,POINT (-72.641813 -38.984675)
3465914282,Elaenia albiceps,-33.433308,-70.714959,2022-02-02T12:24:00,POINT (-70.714959 -33.433308)
3466099660,Elaenia albiceps,-33.331087,-70.504251,2022-02-02T21:23:39,POINT (-70.504251 -33.331087)
3468949515,Elaenia albiceps,-33.441433,-70.61195,2022-02-01T10:16:13,POINT (-70.61195 -33.441433)
3772663505,Elaenia albiceps,-38.87155,-72.419697,2022-02-05T11:22:41,POINT (-72.419697 -38.87155)
3468790116,Elaenia albiceps,-34.989632,-71.823138,2022-02-08T19:47:08,POINT (-71.823138 -34.989632)
3468956286,Elaenia albiceps,-34.967174,-71.058998,2022-02-09T18:26:00,POINT (-71.058998 -34.967174)
3499414917,Elaenia albiceps,-33.374938,-70.609616,2022-02-15T10:43:47,POINT (-70.609616 -33.374938)
3499342551,Elaenia albiceps,-33.3745,-70.609623,2022-02-15T10:47:05,POINT (-70.609623 -33.3745)
3698363626,Elaenia albiceps,-34.990237,-71.800749,2022-02-18T20:16:35,POINT (-71.800749 -34.990237)
3698049631,Elaenia albiceps,-35.429203,-71.597844,2022-02-12T19:15:00,POINT (-71.597844 -35.429203)
3698115646,Elaenia albiceps,-35.689836,-71.679035,2022-02-13T17:26:00,POINT (-71.679035 -35.689836)
3698106888,Elaenia albiceps,-43.113007,-73.627357,2022-02-20T17:34:19,POINT (-73.627357 -43.113007)
3698371965,Elaenia albiceps,-35.68956,-71.67887,2022-02-13T17:26:00,POINT (-71.67887 -35.68956)
3698098014,Elaenia albiceps,-34.989355,-71.833802,2022-02-21T19:00:48,POINT (-71.833802 -34.989355)
3698199169,Elaenia albiceps,-39.810312,-73.242997,2022-02-22T11:33:17,POINT (-73.242997 -39.810312)
3705429472,Elaenia albiceps,-35.005977,-71.909297,2022-02-24T14:05:41,POINT (-71.909297 -35.005977)
3705815478,Elaenia albiceps,-34.989237,-71.81382,2022-02-24T12:59:42,POINT (-71.81382 -34.989237)
3705791953,Elaenia albiceps,-42.622934,-74.109109,2022-02-11T15:45:00,POINT (-74.109109 -42.622934)
3705752263,Elaenia albiceps,-33.414085,-70.61684,2022-02-17T08:01:06,POINT (-70.61684 -33.414085)
3712528581,Elaenia albiceps,-42.493227,-73.826966,2022-02-13T20:24:00,POINT (-73.826966 -42.493227)
3712619551,Elaenia albiceps,-42.501308,-73.790557,2022-02-13T23:24:00,POINT (-73.790557 -42.501308)
3764136890,Elaenia albiceps,-39.87557,-71.901122,2022-02-17T11:28:55,POINT (-71.901122 -39.87557)
3985744147,Elaenia albiceps,-42.481297,-72.344175,2022-02-17T19:08:00,POINT (-72.344175 -42.481297)
4018425447,Elaenia albiceps,-41.413111,-72.121248,2022-02-16T19:27:30,POINT (-72.121248 -41.413111)
4034981590,Elaenia albiceps,-38.732287,-73.425303,2022-02-05T08:07:00,POINT (-73.425303 -38.732287)
3705675059,Elaenia albiceps,-33.38925,-70.680443,2022-03-01T20:36:23,POINT (-70.680443 -33.38925)
3746951740,Elaenia albiceps,-39.448038,-72.208432,2022-03-12T13:25:00,POINT (-72.208432 -39.448038)
3759218917,Elaenia albiceps,-34.996017,-70.809321,2022-03-19T16:07:13,POINT (-70.809321 -34.996017)
3747260674,Elaenia albiceps,-34.996122,-70.809505,2022-03-19T16:10:33,POINT (-70.809505 -34.996122)
3760293774,Elaenia albiceps,-42.783665,-73.993367,2022-03-09T14:45:00,POINT (-73.993367 -42.783665)
3784970440,Elaenia albiceps,-18.512584,-70.19401,2022-03-26T06:45:00,POINT (-70.19401 -18.512584)
4062430874,Elaenia albiceps,-41.4829,-72.847,2022-03-02T00:00:00,POINT (-72.847 -41.4829)
3915624632,Elaenia albiceps,-33.441127,-70.610795,2022-09-23T12:09:12,POINT (-70.610795 -33.441127)
3961147631,Elaenia albiceps,-33.657605,-70.343636,2022-09-29T15:39:00,POINT (-70.343636 -33.657605)
3925070209,Elaenia albiceps,-33.39946,-70.490483,2022-10-02T11:40:00,POINT (-70.490483 -33.39946)
